###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
57229.24873,-19.043,0.738,-88,65,o,0,1.04,219.42633,2.2845,3683.99,4632.01,3.92,3.62,-78.3,-0.447,17.96,18.5,02a57229o0020o
57229.25243,-19.683,0.982,-49,48,o,0,1.1,219.42633,2.2845,3686.47,4631.75,3.96,3.72,-75.3,-0.436,18.26,19.13,02a57229o0025o
57229.26469,-21.506,3.727,-9,34,o,0,2.27,219.42633,2.2845,2224.88,6083.02,3.82,3.57,-76.2,-0.45,18.55,19.64,02a57229o0042o
57229.28483,-19.909,0.917,-40,36,o,0,1.53,219.42633,2.2845,2219.47,6088.45,3.88,3.57,-73.8,-0.439,18.54,19.65,02a57229o0070o
57246.24919,19.804,0.556,44,24,c,0,1.8,219.42633,2.2845,3463.25,4850.31,4.64,4.32,-68.2,-0.346,18.9,20.61,02a57246o0014c
57246.25129,19.746,0.5,46,23,c,0,1.5,219.42633,2.2845,3463.38,4850.52,4.22,4.06,-75.2,-0.375,19.1,20.84,02a57246o0017c
57246.25847,-23.259,11,-2,20,c,0,1.92,219.42633,2.2845,2004.37,6300.44,4.34,4.11,-69.1,-0.384,19.21,21.1,02a57246o0027c
57246.27495,-21.598,2.4,-8,20,c,0,2.47,219.42633,2.2845,1996.52,6300.12,4.14,3.88,-65.1,-0.4,19.26,21.08,02a57246o0050c
57436.45908,-19.492,0.883,-58,51,c,0,1.43,219.42633,2.2845,7681.2,5705.85,4.16,3.88,69.6,-0.392,18.22,19.3,02a57436o0408c
57436.47275,-20.914,3.27,-16,51,c,0,1.22,219.42633,2.2845,7967.36,6289.16,4.12,3.75,74.3,-0.399,18.35,19.45,02a57436o0431c
57436.48634,-22.251,10.667,-5,49,c,0,1.73,219.42633,2.2845,6802.73,6871.15,3.91,3.6,81.4,-0.398,18.47,19.56,02a57436o0454c
57436.49997,-18.866,0.418,-103,43,c,0,1.81,219.42633,2.2845,6548.21,6677.62,3.87,3.58,82.4,-0.407,18.56,19.69,02a57436o0477c
57437.67364,-19.394,1.29,-64,82,o,0,1.36,219.42633,2.2845,2956.59,5249.49,3.7,3.34,-54.7,-0.472,17.58,17.65,02a57437o0861o
57445.63041,-20.939,4.317,-15,66,o,0,0.92,219.42633,2.2845,2971.54,5258.66,3.75,3.4,-50.4,-0.456,18.23,19.15,02a57445o0818o
57445.65394,-19.618,1.284,-52,66,o,0,1,219.42633,2.2845,2683.7,4677.62,3.83,3.41,-40.6,-0.464,18.25,19.12,02a57445o0859o
57452.63156,21.53,2,9,18,c,0,1.64,219.42633,2.2845,3099.05,5374.03,3.76,3.53,-46.8,-0.405,19.62,21.55,02a57452o0733c
57452.65399,20.385,0.808,26,21,c,0,1.68,219.42633,2.2845,2809.74,4794.57,3.88,3.58,-35.4,-0.413,19.33,21,02a57452o0776c
57460.60567,20.27,0.612,28,17,c,0,1.75,219.42633,2.2845,3233.88,5161.71,3.77,3.49,-42.1,-0.412,19.65,21.6,02a57460o0779c
57460.62821,20.732,0.943,18,18,c,0,1.63,219.42633,2.2845,2941.79,4582.26,3.88,3.58,-34.7,-0.409,19.62,21.57,02a57460o0822c
57460.65097,20.206,0.698,30,21,c,0,1.3,219.42633,2.2845,4104.29,4005.91,3.85,3.56,-23.9,-0.408,19.28,20.89,02a57460o0865c
57464.58389,18.533,0.217,140,30,o,0,3.19,219.42633,2.2845,3006.39,4859.54,3.84,3.4,-40.6,-0.475,19.26,20.97,02a57464o0747o
57464.60664,18.766,0.235,113,27,o,0,4.96,219.42633,2.2845,2714.14,4280.58,3.95,3.37,-34.6,-0.481,19.3,21.01,02a57464o0790o
57464.62955,-23.351,13.75,-2,23,o,0,1.99,219.42633,2.2845,3878.55,3703.71,3.97,3.41,-21.4,-0.47,19.28,21.02,02a57464o0833o
57464.65271,-19.085,0.384,-84,32,o,0,1.7,219.42633,2.2845,4090.6,3977.35,3.76,3.34,-23.8,-0.488,18.71,19.93,02a57464o0876o
57476.55596,19.714,0.675,47,32,o,0,1.53,219.42633,2.2845,3316.33,4904.4,3.79,3.49,-46.8,-0.448,18.76,20.04,02a57476o0678o
57480.56031,19.725,0.408,47,19,c,0,1.37,219.42633,2.2845,2945.38,5188.62,3.74,3.52,-47.8,-0.41,19.47,21.24,02a57480o0696c
57480.58373,20.442,0.8,24,19,c,0,3.39,219.42633,2.2845,2655.04,4610.66,3.81,3.52,-38,-0.418,19.42,21.14,02a57480o0741c
57480.60762,-20.482,0.765,-23,18,c,0,1.64,219.42633,2.2845,3817.7,4034.93,3.78,3.5,-24.4,-0.411,19.38,21.06,02a57480o0786c
57480.63129,-21.272,1.75,-11,20,c,0,1.39,219.42633,2.2845,4071.83,3980.9,3.8,3.5,-21.2,-0.415,19.26,20.85,02a57480o0831c
57490.47845,-20.017,0.468,-36,17,c,0,1.67,219.42633,2.2845,2989.57,5022.81,4.2,3.74,-8.1,-0.374,19.51,21.52,02a57490o0562c
57490.4983,-20.607,0.783,-21,16,c,0,1.7,219.42633,2.2845,2695.46,4445.09,3.82,3.64,-40,-0.399,19.57,21.47,02a57490o0595c
57490.51762,23.329,9.6,2,16,c,0,2.37,219.42633,2.2845,3854.54,3870.84,3.78,3.65,-37.4,-0.383,19.51,21.36,02a57490o0628c
57490.53738,-21.717,2.273,-8,17,c,0,2.01,219.42633,2.2845,4078.89,3971.26,3.76,3.65,-37.4,-0.384,19.49,21.34,02a57490o0662c
57491.47536,-20.946,1.385,-15,21,c,0,2.12,219.42633,2.2845,3399.65,5041.12,5.29,4.29,-8,-0.33,19.09,21.21,02a57491o0477c
57491.49508,-20.175,0.645,-31,20,c,0,1.92,219.42633,2.2845,3097.73,4467.26,4.65,4.32,-31.8,-0.355,19.23,21.26,02a57491o0510c
57491.51522,-17.934,0.507,-244,123,c,0,1.76,219.42633,2.2845,4262.13,3889.18,3.99,3.78,-27.5,-0.391,17.01,18.75,02a57491o0543c
57493.46256,-19.125,0.347,-81,28,o,0,2.08,219.42633,2.2845,3168.38,4940.79,4.13,3.58,-13.7,-0.417,18.83,20.22,02a57493o0491o
57493.47651,22.985,12.8,2,30,o,0,3.65,219.42633,2.2845,2875.99,4364.23,4.44,3.69,-10.5,-0.402,18.81,20.29,02a57493o0518o
57493.49733,20.624,1.259,20,26,o,0,1.75,219.42633,2.2845,4027.43,3793.02,3.69,3.48,-31.9,-0.441,19.04,20.45,02a57493o0553o
57493.51759,-20.629,1.273,-20,26,o,0,1.37,219.42633,2.2845,4077.4,3971.7,3.65,3.43,-31.2,-0.441,19.12,20.61,02a57493o0587o
57495.39416,19.118,0.407,82,33,o,0,2.6,219.42633,2.2845,7115.78,5706.62,3.86,3.38,85.9,-0.461,18.56,19.67,02a57495o0353o
57495.40932,20.153,1.07,32,34,o,0,5.43,219.42633,2.2845,7133.88,5746.6,3.71,3.19,87.1,-0.466,18.66,19.75,02a57495o0383o
57495.42375,-21.53,3.24,-9,29,o,0,2.12,219.42633,2.2845,7073.18,5669.49,3.66,3.11,86.2,-0.484,18.71,19.82,02a57495o0412o
57495.43863,-23.51,22.5,-1,32,o,0,1.4,219.42633,2.2845,7051.57,5784.01,3.65,3.13,86.8,-0.484,18.73,19.86,02a57495o0442o
57498.39757,-19.817,1.453,-43,62,o,0,2.78,219.42633,2.2845,7105.9,5702.01,3.66,3.04,87.7,-0.511,18,18.49,02a57498o0371o
57498.41338,-18.758,0.59,-114,67,o,0,1.56,219.42633,2.2845,7125.5,5744.35,3.74,3.16,87.7,-0.521,18.01,18.54,02a57498o0400o
57498.42815,21.641,7.619,8,61,o,0,1.51,219.42633,2.2845,7075.97,5665.23,3.76,3.18,87.2,-0.488,18.04,18.58,02a57498o0429o
57498.44262,-18.912,0.595,-99,59,o,0,1.99,219.42633,2.2845,7055.84,5779.2,3.73,3.17,88.7,-0.5,18.04,18.59,02a57498o0458o
57506.50712,-18.836,0.305,-106,32,o,0,1.89,219.42633,2.2845,3440.59,4855.71,4.32,3.96,-39.8,-0.42,18.68,20.1,02a57506o0554o
57510.51249,20.07,0.506,34,17,c,0,2.18,219.42633,2.2845,3443.64,4857.27,4.08,3.76,-33.8,-0.393,19.46,21.43,02a57510o0582c
57510.52916,19.927,0.451,39,18,c,0,2.13,219.42633,2.2845,3484.12,4819.77,3.98,3.67,-32.5,-0.402,19.42,21.3,02a57510o0615c
57510.54479,20.733,0.979,18,18,c,0,1.81,219.42633,2.2845,3427.68,4800.08,4.03,3.71,-34.8,-0.399,19.34,21.2,02a57510o0646c
57510.56119,-20.051,0.579,-35,20,c,0,2.19,219.42633,2.2845,3503.83,4877.74,4.34,3.97,-33.1,-0.38,19.14,20.99,02a57510o0678c
57510.57528,-21.658,3,-8,24,c,0,1.91,219.42633,2.2845,3405.96,4896.46,5.08,4.72,-31.8,-0.321,18.87,20.83,02a57510o0706c
57525.38822,-20.258,1.314,-29,38,o,0,2.48,219.42633,2.2845,4505.17,4024.11,3.72,3.54,-23.4,-0.465,18.47,19.47,02a57525o0316o
57525.40656,19.521,0.657,56,37,o,0,2.07,219.42633,2.2845,4485.29,3992.75,3.73,3.54,-26.6,-0.453,18.46,19.45,02a57525o0350o
57525.41724,-21.042,2.882,-14,40,o,0,1.69,219.42633,2.2845,4543.52,4075.27,3.74,3.58,-31,-0.45,18.43,19.42,02a57525o0371o
57525.42545,19.598,1.074,53,56,o,0,1.02,219.42633,2.2845,4563.47,3960.8,3.64,3.44,-35,-0.462,18.46,19.41,02a57525o0386o
57525.44582,21.372,3.923,10,40,o,0,1.93,219.42633,2.2845,4525.09,4023.25,3.7,3.49,-35.3,-0.452,18.41,19.35,02a57525o0422o
57537.3864,19.788,0.414,44,18,c,0,1.79,219.42633,2.2845,2230.93,5049.36,4.09,3.66,-45,-0.437,19.6,21.65,02a57537o0301c
57537.39808,19.532,0.314,56,18,c,0,2.19,219.42633,2.2845,2211.02,5008.68,4.1,3.64,-42.3,-0.44,19.59,21.62,02a57537o0325c
57537.41476,20.497,0.741,23,17,c,0,1.73,219.42633,2.2845,2291.23,4969.09,4.08,3.63,-41.2,-0.43,19.57,21.59,02a57537o0358c
57537.42719,-19.664,0.386,-50,19,c,0,1.55,219.42633,2.2845,2254.73,5028.34,4.03,3.63,-41.4,-0.426,19.57,21.59,02a57537o0383c
57543.37167,-22.37,5.333,-4,22,c,0,1.44,219.42633,2.2845,2233.16,3700.03,4.24,3.66,-30.5,-0.446,19.52,21.54,02a57543o0298c
57543.38679,20.219,0.623,30,18,c,0,2.11,219.42633,2.2845,2217.64,3662.01,4.26,3.66,-30.2,-0.435,19.57,21.59,02a57543o0320c
57543.40116,22.261,3.8,4,17,c,0,2.56,219.42633,2.2845,2277.88,3740.85,4.21,3.66,-30,-0.426,19.48,21.49,02a57543o0349c
57543.41104,-24.667,38,0,19,c,0,2.1,219.42633,2.2845,2300.33,3627.88,4.28,3.67,-29.1,-0.425,19.38,21.39,02a57543o0367c
57543.43096,23.951,22.5,1,22,c,0,1.53,219.42633,2.2845,2265.38,3685.54,4.22,3.64,-29.2,-0.422,19.39,21.36,02a57543o0405c
57547.36314,20.091,0.553,33,18,c,0,1.46,219.42633,2.2845,4789.72,3762.01,3.99,3.82,-20.1,-0.421,19.63,21.73,02a57547o0235c
57547.37795,19.882,0.449,40,18,c,0,1.97,219.42633,2.2845,4771.11,3724.68,3.95,3.72,-23.6,-0.417,19.64,21.71,02a57547o0257c
57547.39159,21.855,2.765,7,18,c,0,1.9,219.42633,2.2845,4832.15,3806.37,3.99,3.78,-19.5,-0.404,19.62,21.68,02a57547o0283c
57547.4008,20.588,0.944,21,20,c,0,1.46,219.42633,2.2845,4852.5,3687.15,4.05,3.76,-12.3,-0.407,19.6,21.65,02a57547o0302c
57547.41798,-19.976,0.441,-37,16,c,0,2.25,219.42633,2.2845,4817.12,3745.43,4.08,3.81,-19.7,-0.395,19.53,21.56,02a57547o0335c
57558.3378,21.19,3.862,12,47,o,0,1.37,219.42633,2.2845,2710.27,6344.88,3.84,3.47,-67.3,-0.475,18.31,19.14,02a57558o0148o
57558.35199,-18.934,0.414,-97,40,o,0,1.6,219.42633,2.2845,2691.14,6308.18,3.89,3.47,-65.6,-0.472,18.32,19.17,02a57558o0171o
57558.3664,20.038,1.302,35,46,o,0,1.41,219.42633,2.2845,2750.38,6385.64,3.82,3.41,-65.7,-0.472,18.31,19.12,02a57558o0193o
57558.37706,21.592,5.15,8,43,o,0,1.38,219.42633,2.2845,2772.28,6268.19,3.87,3.45,-62.7,-0.483,18.28,19.09,02a57558o0210o
57558.39395,-20.084,1.265,-34,42,o,0,2.51,219.42633,2.2845,2734.01,6325.56,3.78,3.36,-62.3,-0.481,18.26,19.02,02a57558o0242o
57559.37202,19.775,1.262,45,56,o,0,1.82,219.42633,2.2845,2186.52,3751.99,4.7,3.87,-31.3,-0.459,18.09,18.96,02a57559o0277o
57559.38388,20.201,2.056,30,62,o,0,1.57,219.42633,2.2845,2167.61,3712.81,4.7,3.92,-32.1,-0.445,18.08,18.93,02a57559o0301o
57559.39574,-18.511,0.412,-143,59,o,0,1.6,219.42633,2.2845,2226.39,3790.37,4.57,3.81,-32,-0.455,18.09,18.89,02a57559o0325o
57559.40901,-19.061,0.725,-86,62,o,0,1.29,219.42633,2.2845,2238.72,3673.32,4.58,3.81,-32,-0.455,18.05,18.85,02a57559o0350o
57559.42453,-18.718,0.504,-118,60,o,0,1.43,219.42633,2.2845,2198.81,3730.45,4.42,3.7,-31.1,-0.476,18.04,18.79,02a57559o0376o
57562.32429,-19.939,0.826,-38,32,o,0,1.32,219.42633,2.2845,4821.29,6130.59,3.94,3.51,-82.3,-0.507,18.82,20.26,02a57562o0174o
57562.3398,-19.816,0.743,-43,32,o,0,1.61,219.42633,2.2845,4802.07,6095.93,3.86,3.52,-77.1,-0.497,18.75,20.11,02a57562o0195o
57562.35285,21.24,2.889,12,34,o,0,1.44,219.42633,2.2845,4860.02,6173.35,3.9,3.53,-77.3,-0.489,18.73,20.07,02a57562o0218o
57562.36658,-21.3,3.111,-11,34,o,0,1.62,219.42633,2.2845,4879.77,6057.64,3.78,3.43,-74.9,-0.491,18.73,20.02,02a57562o0241o
57562.3806,20.242,1.07,29,31,o,0,1.58,219.42633,2.2845,4841.71,6115.02,3.78,3.46,-70.8,-0.481,18.68,19.94,02a57562o0263o
57566.326,-21.173,2.036,-12,25,o,0,1.96,219.42633,2.2845,4614.79,4795.97,3.86,3.58,-64.8,-0.496,19.25,21.06,02a57566o0175o
57566.33883,18.995,0.227,92,21,o,0,3.84,219.42633,2.2845,4596.04,4759.42,3.75,3.54,-62,-0.492,19.25,21.03,02a57566o0197o
57566.35248,-19.244,0.476,-73,35,o,0,1.92,219.42633,2.2845,4654.64,4837.12,3.72,3.54,-63.7,-0.491,18.87,20.63,02a57566o0220o
57566.36687,22.088,4.5,5,24,o,0,2.19,219.42633,2.2845,4675.09,4721.14,3.71,3.5,-58,-0.492,19.2,20.96,02a57566o0242o
57566.38071,18.679,0.207,123,25,o,0,1.98,219.42633,2.2845,4637.31,4777.71,3.75,3.55,-54.2,-0.477,19.23,20.98,02a57566o0263o
57570.32233,17.236,0.387,463,179,o,0,3.62,219.42633,2.2845,3622.97,4579.35,3.73,3.47,-49.7,-0.491,16.99,18.5,02a57570o0173o
57570.33538,-18.139,0.225,-202,45,o,0,1.33,219.42633,2.2845,3605.98,4540.98,3.77,3.49,-49.6,-0.485,18.62,20.29,02a57570o0196o
57570.34909,-20.416,1.615,-25,40,o,0,1.35,219.42633,2.2845,3665.89,4618.72,3.75,3.44,-48,-0.482,18.77,20.47,02a57570o0219o
57570.36293,-21.966,5.25,-6,31,o,0,3.49,219.42633,2.2845,3684.99,4502.46,3.75,3.46,-40.1,-0.466,19.06,20.8,02a57570o0241o
57570.37762,-19.471,0.496,-59,29,o,0,1.49,219.42633,2.2845,3647.43,4560.79,3.86,3.56,-38.2,-0.447,19.07,20.84,02a57570o0265o
57574.31526,20.356,0.772,26,20,c,0,1.48,219.42633,2.2845,1706.61,4847.97,4.44,3.83,-50.2,-0.461,19.54,21.62,02a57574o0151c
57574.32781,19.056,0.246,87,21,c,0,1.68,219.42633,2.2845,1689.21,4809.17,4.45,3.8,-43.9,-0.451,19.54,21.59,02a57574o0175c
57574.3553,-22.185,4,-5,19,c,0,1.94,219.42633,2.2845,1768.83,4768.89,4.3,3.7,-41.1,-0.462,19.53,21.56,02a57574o0223c
57578.30298,20.07,0.568,34,19,c,0,3.41,219.42633,2.2845,4495.23,4588.53,4.36,4.13,-45.3,-0.405,19.27,21.22,02a57578o0127c
57578.34217,22.235,4.455,5,21,c,0,2.14,219.42633,2.2845,4556.9,4510.6,4.15,3.9,-32.3,-0.412,19.37,21.31,02a57578o0194c
57578.35618,-23.361,11.75,-2,19,c,0,5.32,219.42633,2.2845,4519.07,4568.32,4.07,3.79,-30.3,-0.416,19.44,21.42,02a57578o0216c
57591.24993,-21.035,3.342,-14,47,o,0,1.09,219.42633,2.2845,3279.5,6123.97,3.59,3.2,-71.2,-0.48,18.43,19.28,02a57591o0045o
57591.25973,20.511,1.288,23,29,o,0,2.03,219.42633,2.2845,3261.29,6086,3.65,3.31,-66.3,-0.47,19.09,20.63,02a57591o0062o
57591.27275,-19.514,0.424,-57,24,o,0,1.93,219.42633,2.2845,3323.53,6164.27,3.62,3.28,-64,-0.475,19.14,20.72,02a57591o0084o
57591.28574,20.329,1.097,27,29,o,0,1.56,219.42633,2.2845,3343.56,6045.49,3.58,3.22,-64.7,-0.493,18.85,20.13,02a57591o0106o
57591.29972,-20.318,1.314,-27,36,o,0,1.55,219.42633,2.2845,3305.31,6101.89,3.68,3.33,-61.9,-0.481,18.69,19.88,02a57591o0130o
57600.26138,18.974,0.236,93,22,c,0,1.76,219.42633,2.2845,4700.91,6148.98,3.8,3.57,-47.6,-0.487,19.46,21.51,02a57600o0028c
57600.27141,18.751,0.209,115,24,c,0,2.14,219.42633,2.2845,4682.51,6110.15,3.79,3.48,-57.4,-0.478,19.5,21.76,02a57600o0045c
57600.28318,18.16,0.115,198,23,c,0,2.47,219.42633,2.2845,4742.03,6185.44,3.75,3.51,-51.2,-0.488,19.49,21.46,02a57600o0065c
57600.29649,18.678,0.172,123,21,c,0,2.81,219.42633,2.2845,4763.69,6068.34,3.83,3.56,-43.7,-0.482,19.48,21.49,02a57600o0087c
57600.30913,18.945,0.221,96,21,c,0,2.39,219.42633,2.2845,4726.6,6125.49,3.87,3.58,-46.2,-0.465,19.46,21.44,02a57600o0108c
57607.24682,20.034,0.818,35,29,c,0,1.87,219.42633,2.2845,4490.39,3194.17,3.96,3.59,-17.1,-0.434,18.86,20.09,02a57607o0028c
57607.25354,20.283,0.819,28,23,c,0,1.51,219.42633,2.2845,4472.46,3153.49,3.98,3.62,-18.5,-0.425,19.24,20.81,02a57607o0037c
57607.26102,-20.109,0.614,-33,20,c,0,1.42,219.42633,2.2845,4530.7,3230.08,4.03,3.66,-17,-0.42,19.33,21.02,02a57607o0047c
57607.27145,20.2,0.645,30,20,c,0,1.99,219.42633,2.2845,4550.77,3113.82,4.02,3.6,-14.1,-0.433,19.38,21.09,02a57607o0061c
57607.28413,22.662,6.312,3,20,c,0,2.82,219.42633,2.2845,4511.48,3170.91,4.23,3.77,-13.4,-0.416,19.31,21.09,02a57607o0078c
57611.25122,-20.202,1.161,-30,35,o,0,1.9,219.42633,2.2845,1993.96,3331.15,4.28,3.46,-24.2,-0.507,18.61,20.19,02a57611o0041o
57611.26146,-19.864,1.047,-41,43,o,0,1.33,219.42633,2.2845,1974.41,3291.05,4.25,3.35,-21.9,-0.516,18.63,20.22,02a57611o0059o
57611.27308,23.177,21,2,41,o,0,1.39,219.42633,2.2845,2032.81,3367.69,4.23,3.38,-23.2,-0.596,18.6,20.17,02a57611o0081o
57611.28667,19.541,0.853,55,47,o,0,1.34,219.42633,2.2845,2049.83,3249.91,4.43,3.55,-23.4,-0.481,18.53,20.14,02a57611o0106o
57611.29829,-20.453,1.592,-24,38,o,0,1.5,219.42633,2.2845,2008.48,3308.72,4.3,3.38,-21.5,-0.508,18.53,20.07,02a57611o0128o
57615.24842,-19.533,0.697,-56,39,o,0,2.66,219.42633,2.2845,3775.16,5859.73,4.04,3.84,-87.2,-0.428,18.37,19.81,02a57615o0039o
57615.25311,-18.537,0.596,-140,83,o,0,1.35,219.42633,2.2845,3754.93,5820.2,4.28,4.07,-71.7,-0.417,17.63,18.77,02a57615o0048o
57615.26799,-22.727,14.167,-3,42,o,0,1.61,219.42633,2.2845,3809.59,5895.58,4.11,3.89,-72.5,-0.433,18.34,19.87,02a57615o0075o
57615.27586,21.098,3.448,13,46,o,0,1.4,219.42633,2.2845,3828.84,5777.94,3.86,3.64,-73.8,-0.471,18.36,19.82,02a57615o0090o
57615.29418,23.31,25.5,2,44,o,0,1.79,219.42633,2.2845,3785.96,5835.25,3.72,3.51,-80,-0.472,18.33,19.69,02a57615o0125o
57764.66413,19.118,0.327,82,27,o,0,3.04,219.42633,2.2845,7105.96,4323.32,3.59,3.3,-87.4,-0.429,18.85,19.93,02a57764o0882o
57764.68103,20.333,3.024,27,81,o,0,0.93,219.42633,2.2845,7120.07,4364.75,3.58,3.32,-87.9,-0.419,17.85,18.05,02a57764o0911o
57800.65419,-19.461,1.08,-60,64,o,0,1.03,219.42633,2.2845,1649.84,5918.72,3.65,3.42,63.5,-0.461,18.29,18.94,02a57800o0672o
57800.66989,18.014,0.473,226,107,o,0,1.11,219.42633,2.2845,1633.12,5878.83,3.55,3.35,65.8,-0.487,17.93,18.1,02a57800o0702o
57804.66319,-20.363,0.987,-26,26,c,0,1.83,219.42633,2.2845,1530.38,6056.28,3.85,3.59,56.3,-0.423,19.08,20.44,02a57804o0860c
57808.63886,21.914,2.833,6,18,c,0,2.21,219.42633,2.2845,1631.78,4796.89,3.88,3.67,65.6,-0.399,19.63,21.53,02a57808o0799c
57808.6608,-21.896,3.647,-6,23,c,0,1.87,219.42633,2.2845,1614.16,4759.86,3.89,3.67,72.5,-0.402,19.18,20.72,02a57808o0839c
57816.56919,21.008,1.1,14,16,c,0,3.16,219.42633,2.2845,5844.82,7157.05,3.79,3.68,-88.9,-0.408,19.75,21.92,02a57816o0613c
57816.59703,20.493,0.746,23,17,c,0,2.12,219.42633,2.2845,5861.7,7199.62,3.88,3.73,83.6,-0.396,19.74,21.92,02a57816o0664c
57816.60417,-19.675,0.313,-49,15,c,0,2.29,219.42633,2.2845,4673.82,3331.45,3.88,3.73,79.9,-0.373,19.74,21.88,02a57816o0677c
57816.6167,-20.056,0.452,-34,16,c,0,2.31,219.42633,2.2845,4692.3,3216.06,3.92,3.76,81.6,-0.376,19.72,21.85,02a57816o0700c
57816.63561,20.544,0.833,22,18,c,0,1.26,219.42633,2.2845,4656.15,3273.84,3.89,3.73,79.7,-0.377,19.71,21.83,02a57816o0735c
57820.6419,18.948,0.321,96,31,o,0,2.82,219.42633,2.2845,6951.63,6021.83,3.57,3.24,-16.8,-0.47,18.93,21,01a57820o0864o
57820.65591,-21.816,4.308,-7,29,o,0,1.99,219.42633,2.2845,6971.54,6060.39,3.5,3.19,-23.1,-0.472,18.79,20.43,01a57820o0892o
57828.60007,19.507,1.235,57,71,o,0,1.4,219.42633,2.2845,2532.55,6368.23,3.67,3.52,84.7,-0.433,17.44,17.67,02a57828o0722o
57828.61815,-19.646,1.27,-50,64,o,0,2.58,219.42633,2.2845,2518.07,6328.44,3.49,3.34,76.4,-0.455,17.5,17.67,02a57828o0757o
57828.62519,21.277,6.935,11,78,o,0,1.02,219.42633,2.2845,2580.39,6407.35,3.52,3.39,80.1,-0.451,17.49,17.66,02a57828o0771o
57828.63658,19.99,4.096,37,150,o,0,1.06,219.42633,2.2845,8861,6383.66,3.36,3.13,-51.3,-0.497,17.61,18.16,01a57828o0834o
57828.64569,19.936,1.8,38,69,o,0,1.78,219.42633,2.2845,2604.72,6286.54,3.53,3.42,85.1,-0.441,17.47,17.64,02a57828o0813o
57828.65068,-19.286,3.115,-70,218,o,0,0.98,219.42633,2.2845,8879.81,6421.43,3.36,3.14,-42,-0.493,17.35,17.78,01a57828o0862o
57830.64537,21.144,3.6,13,46,o,0,1.15,219.42633,2.2845,7614.43,4719.35,3.3,3.22,-37.5,-0.49,18.46,19.7,01a57830o0844o
57832.58286,19.431,0.424,61,26,o,0,1.9,219.42633,2.2845,5149.48,6351.77,3.59,3.56,65.2,-0.462,18.53,19.85,02a57832o0691o
57832.60421,19.638,0.525,51,27,o,0,1.36,219.42633,2.2845,5132.16,6313.94,3.47,3.42,-63.6,-0.466,18.53,19.8,02a57832o0731o
57832.62433,19.07,0.27,86,23,o,0,2.55,219.42633,2.2845,5191.16,6390.85,3.82,3.6,2.2,-0.451,18.45,19.79,02a57832o0771o
57832.63163,20.169,0.859,31,27,o,0,1.71,219.42633,2.2845,5207.75,6272.23,3.45,3.4,-53.5,-0.468,18.52,19.76,02a57832o0786o
57832.63414,16.156,0.019,1251,24,o,0,75.25,219.42633,2.2845,6534.91,6359.62,3.34,3.21,-36.1,-0.478,18.9,20.6,01a57832o0831o
57832.64883,-20.454,2.59,-24,62,o,0,1.69,219.42633,2.2845,6554.65,6398.01,3.69,3.53,-38.9,-0.468,18.08,19.19,01a57832o0860o
57832.65045,19.12,0.576,82,47,o,0,1.33,219.42633,2.2845,5171.9,6328.86,3.39,3.24,-12.1,-0.451,17.86,18.42,02a57832o0820o
57833.63022,19.5,0.509,58,29,o,0,4.55,219.42633,2.2845,5803.27,3876.6,3.38,3.11,-59.3,-0.474,18.99,20.71,01a57833o0824o
57833.64476,-19.667,0.646,-49,32,o,0,1.74,219.42633,2.2845,5823.39,3915.16,3.45,3.17,-59.9,-0.474,18.63,20.02,01a57833o0853o
57834.62682,19.514,0.522,57,30,o,0,3.98,219.42633,2.2845,6163.33,4645.66,3.77,3.58,-60.4,-0.461,18.98,21,01a57834o0668o
57834.64134,-19.471,0.573,-59,34,o,0,1.79,219.42633,2.2845,6183.4,4684.41,3.6,3.46,-55.6,-0.46,18.8,20.54,01a57834o0697o
57834.65589,-17.639,1.063,-319,340,o,0,1.02,219.42633,2.2845,6123.25,4608.67,3.73,3.56,-41.8,-0.516,16.8,16.64,01a57834o0726o
57837.6187,19.066,0.396,86,34,o,0,4.99,219.42633,2.2845,5305.48,5295.29,3.81,3.47,-53.9,-0.454,19.09,21.07,01a57837o0629o
57837.6334,19.309,0.435,69,30,o,0,4.43,219.42633,2.2845,5324.6,5333.99,3.84,3.5,-51.6,-0.455,18.99,20.92,01a57837o0657o
57837.64818,-18.685,0.646,-122,79,o,0,1.63,219.42633,2.2845,5265.55,5257.61,3.83,3.48,-50.6,-0.45,17.86,18.65,01a57837o0685o
57838.61343,-19.761,0.655,-45,30,o,0,2.11,219.42633,2.2845,7850.25,4831.97,3.47,3.2,-42.2,-0.481,19.17,21.17,01a57838o0690o
57838.62757,20.309,0.957,27,26,o,0,4.26,219.42633,2.2845,7869.94,4870.43,3.65,3.36,-42.3,-0.478,19.06,21.06,01a57838o0717o
57838.64274,19.146,0.451,80,36,o,0,1.36,219.42633,2.2845,7810.05,4795.01,3.59,3.26,-40.9,-0.48,18.55,20,01a57838o0746o
57842.60322,18.784,0.267,111,30,o,0,8.12,219.42633,2.2845,6461.52,7388.65,3.75,3.46,-26,-0.477,18.98,20.9,01a57842o0745o
57842.6175,19.502,0.494,58,28,o,0,3.96,219.42633,2.2845,6481.4,7426.39,3.83,3.54,-26.7,-0.475,18.95,20.88,01a57842o0772o
57842.63233,19.24,0.5,73,37,o,0,5.41,219.42633,2.2845,6421.57,7350.58,3.91,3.6,-28.2,-0.467,18.87,20.76,01a57842o0800o
