###MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
60037.99144,-20.553,1.076,-22,24,o,0,1.15,219.42633,2.2845,2139.8,3560.82,2.21,1.99,-56.8,-0.429,18.78,19.16,03a60038o0516o
60038.18163,-19.845,2.23,-42,93,o,0,1.21,219.42633,2.2845,4587.36,9769.93,2.01,1.78,-28.5,-0.494,17.36,17.63,04a60038o0463o
60038.18485,20.903,3.303,16,52,o,0,1.1,219.42633,2.2845,4567.91,9730.87,2.08,1.82,-59.1,-0.419,18.21,18.58,04a60038o0470o
60038.18766,18.682,0.418,122,51,o,0,1.07,219.42633,2.2845,4626.17,9808.75,1.99,1.76,-61.5,-0.439,18.36,18.74,04a60038o0476o
60038.19646,-19.404,0.931,-63,59,o,0,0.97,219.42633,2.2845,4646.55,9691.83,2.22,1.96,-46.3,-0.41,18.17,18.51,04a60038o0494o
60039.1665,-19.615,1.197,-52,62,o,0,0.54,219.42633,2.2845,2167.58,5706.77,2.17,1.95,-67.1,-0.449,17.78,17.82,04a60039o0433o
60039.16929,-20.054,1.567,-34,54,o,0,0.91,219.42633,2.2845,2147.01,5668.53,2.19,1.97,-75.7,-0.429,17.87,17.86,04a60039o0439o
60039.17437,-18.958,0.541,-95,51,o,0,0.91,219.42633,2.2845,2207.52,5744.44,2.16,1.91,-82.1,-0.417,17.94,18.02,04a60039o0450o
60039.184,19.595,0.896,53,47,o,0,1.14,219.42633,2.2845,2225.49,5628.92,2.18,1.98,-78.4,-0.426,18.01,18.19,04a60039o0471o
60044.02397,-20.34,1.105,-26,29,o,0,1.05,219.42633,2.2845,6104.62,4562.08,2.57,2.12,-51,-0.396,18.53,19.01,03a60044o0658o
60044.02718,20.124,0.737,32,24,o,0,1.46,219.42633,2.2845,6123.59,4601.37,2.23,2.07,-39.6,-0.429,18.65,18.98,03a60044o0665o
60044.03283,-19.001,0.268,-91,24,o,0,1.63,219.42633,2.2845,6068.08,4524.98,2.21,1.99,-41.2,-0.437,18.67,18.96,03a60044o0677o
60045.3381,23.47,16.615,2,25,o,0,0.94,219.42633,2.2845,6135.95,4487.83,1.98,1.78,-23,-0.437,18.75,19.49,04a60045o0795o
60045.34114,20.833,1.483,17,25,o,0,1.08,219.42633,2.2845,6155.05,4524.89,1.96,1.77,-20.7,-0.452,18.81,19.5,04a60045o0801o
60045.37591,-21.009,1.803,-14,26,o,0,0.79,219.42633,2.2845,6098.45,4438,1.92,1.7,-29.2,-0.419,18.82,19.5,04a60045o0875o
60045.40507,21.196,2.49,12,30,o,0,0.65,219.42633,2.2845,6075.71,4556.72,1.97,1.82,-28.8,-0.471,18.66,19.22,04a60045o0936o
60048.25076,-20.894,1.04,-16,17,o,0,1.43,219.42633,2.2845,6195.71,6474.05,2.11,1.95,-33,-0.422,19.22,20.56,04a60048o0584o
60048.25417,20.531,0.803,22,18,o,0,0.94,219.42633,2.2845,6217.69,6509.13,2.13,1.96,-46.7,-0.423,19.26,20.54,04a60048o0591o
60048.26111,-21.519,2.027,-9,18,o,0,0.8,219.42633,2.2845,6164.92,6425.63,2.06,1.88,-37.2,-0.426,19.27,20.49,04a60048o0606o
60048.29582,-21.075,1.43,-14,19,o,0,1.43,219.42633,2.2845,6166.09,6511.6,2.12,1.91,-33.7,-0.422,19.19,20.39,04a60048o0680o
60050.04618,-21.605,2.382,-8,20,o,0,1,219.42633,2.2845,10031.41,756.6,2.2,1.97,-47.6,-0.474,19.4,20.46,03a60050o0719o
60050.04901,21.511,2,9,18,o,0,1.04,219.42633,2.2845,10050.36,796.39,2.18,1.97,-47.2,-0.472,19.41,20.42,03a60050o0725o
60050.08399,-20.418,0.708,-25,18,o,0,1.24,219.42633,2.2845,9999.58,716.83,2.29,2.01,-58.4,-0.455,19.33,20.38,03a60050o0797o
60050.09021,20.552,0.8,22,18,o,0,0.91,219.42633,2.2845,9976.71,835.07,2.22,2.01,-57.5,-0.455,19.34,20.33,03a60050o0809o
60051.2619,-23.435,11.167,-2,17,c,0,1.4,219.42633,2.2845,9964.33,614.98,3.55,2.58,-24.6,-0.333,19.49,21.24,04a60051o0656c
60051.26508,-21.063,1.509,-14,21,c,0,1,219.42633,2.2845,9985.55,651.41,3.53,2.45,-27.8,-0.341,19.5,21.23,04a60051o0663c
60051.2725,20.857,1.161,16,19,c,0,1.64,219.42633,2.2845,9930.28,567.18,3.57,2.5,-27.9,-0.334,19.25,20.9,04a60051o0679c
